Company Name,Membership No,Membership Type,Establishment,Logo URL,Short Profile,Address,Area,Postcode,Phone,Email,Company Website,Legal Structure,Valid Till,Services
Happihub Platform Ltd.,22-02-068,Affiliate,December 2021,https://basis.org.bd/images/logo/30ff36c33b5b0d254da7b2768e57abe117022022021513.png,Happihub Platform Limited is a Software Development company which provides website/software development and maintenance support.,"House 2, Road 3, Block B, Banasree Avenue Road, Dhaka",Banasree,1219,+8801673128667,kazihasan@happihub.com,https://www.happihub.com,Limited Company,,Web Development
Enigma Multimedia Limited,23-04-057,Affiliate,April 2021,https://basis.org.bd/images/logo/79d0c6e2e2c169d4591d22ee5b0c67ce11042023041624.png,"We are Enigma Multimedia Ltd (EML) working as a Community Marketing Organization. We create diverse multimedia content for diverse audiences. Our Vision is to promote viewers to experience content, not popular content, maintaining greater awareness of sustainable development goals with highest patriotism","Police Plaza Concord, Tower-1 (5th Floor), Plot-02, Road- 144, Gulshan-1, Dhaka-1212, Bangladesh",Gulshan,1212,01967889988,info@enigmabd.tv,http://www.enigmabd.tv,Limited Company,,Web Development
ANS MUSIC OPC,23-12-057,Affiliate,February 2022,https://basis.org.bd/images/logo/6838df21455ad9bc847375b10f8e5ffc20122023122240.png,"Welcome to ANS Music, a dynamic force in the music industry. Established in 2022, we are a multifaceted entity encompassing a record label, audio-visual production house, and cutting-edge media tech company. As an international digital music and digital content distributor and aggregator, we empower artists and label owners globally. With a robust network of over 200 digital service providers, including Spotify, TikTok, Facebook, and YouTube, ANS Music ensures your music reaches vast audiences, maximizing monetization. Join us in shaping the future of music distribution and amplifying your artistic journey.","21/A Media Goli, New Eskaton Road, Dhaka",Moghbazar,1000,01890076006,info@ansmusiclimited.com,https://ansmusiclimited.com,Limited Company,,"Web Development, Web Based Audio-Visual Distribution Application"
BizMappers Ltd.,24-06-042,Affiliate,December 2023,https://basis.org.bd/images/logo/17e80f42cfaef7ab5fabf868f167a40414062024065002.png,"BizMappers Ltd. is founded by 7 young and highly skilled professionals with 10 to 15 years of experience in diversified fields of IT enabled services, web development, digital marketing, commercial ad production, and brand development. Since its inception, the company focused on ROI based marketing that helped to grow 350+ e-commerce, f-commerce and corporate businesses in the last 3 years of our operation. “Automated Online Sales through Facebook Marketing” is the highly creative IT enabled business idea & execution expertise that keeps BizMappers Ltd. unique and unparalleled within thousands of digital marketing agencies. Our vision is to become the leading IT based business consultancy company in Bangladesh as well in the world.","House No. 549 (5th Floor), Road No. 10, Adabor",Mohammadpur,1207,8801779689831,contact@bizmappers.com,http://www.bizmappers.com,Limited Company,,"Consultancy, IT, Digital Marketing, Web Development, Branding, Creative Production"
Debug BD Ltd.,21-04-002,Associate,February 2019,https://basis.org.bd/images/logo/606ed739e8e0ddebug_bd_logo_final_eng.png,IT Solutions,"Apt B5, House 43, Road 23, Block B, Banani",Gulshan,1212,01708123433,debugbd@gmail.com,http://www.debugbd.com,Limited Company,,Web Development
Themefisher,21-06-014,Associate,February 2019,https://basis.org.bd/images/logo/60be4182e224etf-logo.png,Themefisher is a global static themes marketplace. We design and develop Incredible Themes and Templates using modern web technologies to help developers and entrepreneurs build websites.,"21/15 Babor Road, Mohammadpur, Dhaka",Mohammadpur,1207,01672506744,mehedi@themefisher.com,https://www.themefisher.com,Proprietorship,,Web Development
Tech Bhai,21-08-034,Associate,December 2016,https://basis.org.bd/images/logo/32b3a0005ae5defeaaa0b028dbb1c20414012023013610.png,"Tech-Bhai, founded in 2016, is a dynamic Bangladeshi IT solutions provider committed to delivering top-notch technology services tailored to meet the needs of businesses and individuals. As a proud member of BASIS (Bangladesh Association of Software and Information Services), Tech-Bhai is dedicated to fostering growth and innovation within the tech industry.  Tech-Bhai provides comprehensive web development services for both local and international markets, covering front-end and back-end solutions. Skilled in HTML, CSS, JavaScript, PHP, and Python, we build responsive, secure websites with robust data management. Our e-commerce expertise includes Shopify, WooCommerce, and more, along with CMS customization for WordPress, Laravel, and other platforms. We also manage technical SEO, API integration, and web application development for Progressive Web Apps (PWAs) and Single Page Applications (SPAs). With reliable hosting, deployment, and security measures, Tech-Bhai ensures seamless, end-to-end support, empowering clients with a strong, optimized online presence.  Tech-Bhai offers custom software development services, crafting tailored solutions to meet unique business needs. We specialize in building scalable applications using modern technologies like Python, Java, .NET, and cloud platforms such as AWS and Azure. From enterprise software to mobile and web applications, we deliver secure, user-friendly solutions with an emphasis on efficiency and performance. Tech-Bhai’s development process includes detailed planning, agile methodologies, and rigorous testing to ensure high-quality results. With robust support and maintenance, Tech-Bhai provides end-to-end services to help businesses streamline operations and achieve their goals.  Tech-Bhai provides custom mobile app development, creating intuitive, high-performance apps for iOS and Android. Using frameworks like React Native and Flutter, we ensure fast, cross-platform solutions. From concept to deployment, Tech-Bhai focuses on user experience, security, and seamless functionality, supporting businesses in reaching a wider mobile audience effectively.  Tech-Bhai provides robust business email solutions, including Microsoft 365, Exchange Online Plan and Google Workspace, ensuring secure, professional communication. Our IT solutions cover setup, migration, and support for seamless integration, enhancing collaboration and productivity across organizations while prioritizing data security and reliable service for business needs.","218/3, Shefali Complex (Level-5), Begum Rokeya Sarani, Dhaka 1207",Mirpur,1207,01716620452,sales@tech-bhai.com,https://www.tech-bhai.com/,Partnership,,"Microsoft 365 Business, POS, Google Workspace, ERP, IT Solutions, Web Development"
Mediusware Ltd,21-11-074,Associate,January 2015,https://basis.org.bd/images/logo/0e55debab62779a47da97027186d7d5c27122021125528.png,"Incepted in 2015, Mediusware Ltd. has been serving as a leading IT solution company in Bangladesh. Our aim is to help businesses all around the world by providing digital solutions according to their needs. Our Services: • Web Development • Mobile App Development • E-commerce Solution • Enterprise Resource Planning • Software Development • API Integration • UX/UI Design • Software Quality Assurance Besides these, Mediusware also designs and develops innovative products for itself and its clients. On our journey to the completion of over 1000+ projects, we have satisfied a lot of local and international companies. If you want to upgrade the systems and software of your business with the latest and proven technology, you can have your trust with us!","Ring Road, House - 18/5, Floor - 2nd, Mohammadpur",Mohammadpur,1207,01715712931,coredeveloper.2013@gmail.com,www.mediusware.com,Limited Company,,Web Development
EchoaSoft Limited,22-02-001,Associate,January 2020,https://basis.org.bd/images/logo/ec8bdfd17bc49d1b7b8166115cdf289415032022033847.png,Software Development,"House 14, Rd No. 20, Nikunja-2, Khilkhet,",Khilkhet,1229,01717337907,quickbooks.echoasoftlimited@gmail.com,http://www.echoasoft.com,Limited Company,,Web Development
Azoncode Ltd.,22-02-015,Associate,December 2014,https://basis.org.bd/images/logo/b8f672247881d6b318858621968a34e309022022024300.png,"Azoncode Ltd is one of the leading companies for developing enterprise products for business. It provides subscription based web solutions, software, mobile apps, domain name, web hosting and IT enabled services. The company was duly established in 2014 and has its registered office in Gulshan, Dhaka, Bangladesh and global offshore office in London, UK.","Suite# 3, 2nd Floor, 196 Green Road, Kalabagan, Dhaka-1205",Motijheel,1205,01798669999,admin@azoncode.com,https://azoncode.com,Limited Company,,Web Development
Bit Code Technologies Limited,22-02-019,Associate,November 2018,https://basis.org.bd/images/logo/04bfa2751eddfe7ad9bfa123e21c2b4f14032022033141.jpg,"Bit Code Technologies LTD is Zoho Certified Developer and Advanced Partner, Twilio Technology Partner. We also develop WordPress plugin, SAAS software and custom software.","Aris United, 6th floor, 3rd Road, Nasirabad Properties, Khulshi",,4000,01521227387,admin@bitcode.pro,https://www.bitcode.pro/,Limited Company,,Web Development
Centranix Limited,22-04-007,Associate,October 2021,https://basis.org.bd/images/logo/dbbf805e0344943b276e502d35034d2f28042022043218.png,"Centranix is a provider of IT consultation & services for medium to large organisations who are looking to establish, expand or enhance their business operations.","8/A, Holding 15, Road 5, Main Road 3, Block A, Section 11, Pallabi",Mirpur,1216,+8801855 955 535,sales@centranix.com,http://www.centranix.com,Limited Company,,Web Development
B Technologies,22-04-009,Associate,January 2021,https://basis.org.bd/images/logo/cf9790afe9f60e1cf69b9ddc55a1717602062022064645.png,Software development and IT Solutions,"Horihorpur, Shikder hat, Dinajpur Sadar",,5200,01719361496,abuhayat.du@gmail.com,http://bTechnologies.us,Proprietorship,,Web Development
Finva Soft Limited,22-05-017,Associate,January 2022,https://basis.org.bd/images/logo/3575b8742c9257737bde30319e5abd9f03092023092557.jpg,"Finvasoft Limited is an award-winning software company in health tech solutions in Bangladesh. We're an ""Associate Member"" of BASIS, and we are committed to delivering innovative and high-quality software solutions to our clients. At Finva Soft Limited, we offer a wide range of services, including Customized Software Development, Web Development, Mobile App Development, Cloud computing, E-commerce Solution, SQA and Digital Marketing. In addition to our custom software development services, we also offer a range of ready-to-use products such as Diagnostic/Lab Management Software, Sales & Inventory Management Software, Multivendor E-commerce System, Enterprise resource planning (ERP) Software & Real-time Garment Production Tracking System. For more information about our services and products, please contact us at +880 1321-227280 Or Email: contact@finvasoft.com","House 196, Road 2, Ave 3, Mirpur DOHS, Dhaka 1216, Bangladesh.",Mirpur,1216,01321227280,finvasoft@gmail.com,https://www.finvasoft.com,Limited Company,,"E-commerce Solution, Mobile App Development, Digital Marketing, Software Development, Web Development"
Fair Pattern LTD,22-07-002,Associate,June 2021,https://basis.org.bd/images/logo/457307a85a752ec432a72eb0851b4ef805072022073524.png,"Fair Pattern is a 20 year old New York City and State Certified Minority Business headquartered in New York City.  We are a group of experienced project managers, Sr. developers, analysts with 20+ years of experience in delivering projects using cutting edge Open Source, Microsoft, AI / ML, Python, Big Data and Mobile platforms.  We have been in the project consulting and delivery space for the last 20 years and have catered to some large Fortune 500 companies such as RBS bank, Louise Vuitton Moet Hennessy, NY Department of Finance, Mt Sinai Hospital Group, City of Houston, New York City Department of Planning and more.","House: 80, Road: 07, Apt: A3, Block: H, Banani, Dhaka 1213, Bangladesh.",Banani,1213,+8801711279433,ajay@fairpattern.com,http://www.fairpattern.com,Limited Company,,"Project Management, Marketing/Sales Automation, Web Development, Mobile Application Development, E-Commerce, ERP"
Qtec Solution Limited,22-08-006,Associate,March 2020,https://basis.org.bd/images/logo/3f1e8e5c95cf32007ceaad8f5830afca02082022080140.png,"Offshore Custom Web Software, Mobile Applications Development, UI/UX Design team.","House 23, Road 04, Nikunja 2, Khilkhet, Dhaka 1229",,1229,01313522828,qtecsolution.com@gmail.com,https://qtecsolution.com/,Limited Company,,Web Development
Renaissance Technology BD,22-08-040,Associate,August 2018,https://basis.org.bd/images/logo/eb26e5f6add0484032c26a3abe312aae27082022081539.png,"Pioneer of IT Training Center in Farmgate, Dhaka at the early stage of the IT revolution in Bangladesh.  Renaissance Technology BD was the pioneer of the IT & Computer Training Center at the heart of Dhaka, Farmgate at end of the 19th century.","61- Bijoy Nagar, Dhaka-1000.",Motijheel,1000,01711314156,rentechbd@gmail.com,https://www.rentechbd.com/,Proprietorship,,Web Development
Anirban Soft,22-09-003,Associate,July 2012,https://basis.org.bd/images/logo/f6b945b30ebaba99b4e1e156ab6e626f04102022100123.jpg,"Anirban Soft is the most creative software company in Bangladesh. We are one of the best software company for custom mobile, web and desktop software development.","1/2 Asad Avenue, Asad Gate Road, Mohammadpur, Dhaka-1207",Mohammadpur,1207,01400677102,info@anirbansoft.com,https://www.anirbansoft.com/,Proprietorship,,"Digital Marketing, App Development, Software Development, Web Development, Domain Registration, Hosting Server, IT Support"
Maple BPO,22-09-012,Associate,October 2018,https://basis.org.bd/images/logo/4bf96231b26f9dad5954e00b0b6164b206102022104634.png,"Maple BPO is a registered firm incorporated under Bangladesh's Registrar of Joint Stock Companies (RJSC). We have partnered with many foreign business entities.  In 2018, we started our journey with a mission of helping businesses grow. Since then, it has come a long way in contributing to Business Process Outsourcing (BPO) & IT Enabled Services (ITES). Our global footprint covers more than 14 countries including USA, UK, and CANADA.  Maple BPO adopts a customer & business-driven methodology that boosts productivity and commitment for customers and fellow employees. The company employs more than 250 highly motivated individuals inspired by experienced senior management.","H 409, R 10, Padma R/A, Rajshahi",Rajshahi,6207,01713777716,contact@maplebpo.com,maplebpo.com,Partnership,,"Web Development, Cloud Bookkeeping & Accountancy, Digital Marketing, Ecommerce Management, Customer Support"
